STATION,DATE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed
A0002694297,2024-10-18,30.081666666666667,45.333333333333336,50.833333333333336,,-RA:02 |RA |RA,0.03000000000000001,5.0,81.58333333333333,29.915833333333335,BKN:07 16 OVC:08 70,29.861666666666665,48.083333333333336,VRB,28.0,12.833333333333334
A0002694297,2024-10-19,30.038260869565207,53.391304347826086,57.04347826086956,,-RA:02 |RA |RA,0.00375,4.625,87.8695652173913,29.870434782608694,OVC:08 11,29.819130434782615,54.95652173913044,170,30.75,13.782608695652174
A0002694297,2024-10-20,29.87708333333333,50.166666666666664,54.875,,BR:1 ||,0.009999999999999998,4.625,84.79166666666667,29.711666666666662,CLR:00,29.65958333333333,52.125,VRB,34.375,11.066666666666666
A0002694297,2024-10-21,30.038695652173917,47.26086956521739,50.65217391304348,,-RA:02 |RA |RA,-0.02,3.375,88.21739130434783,29.86913043478261,OVC:08 35,29.818695652173915,48.869565217391305,,,
A0002694297,2024-10-22,30.30347826086955,44.63636363636363,49.47826086956522,,BR:1 ||,-0.021249999999999998,4.125,84.22727272727273,30.13434782608696,CLR:00,30.083478260869573,47.13636363636363,230,,5.0
A0002694297,2024-10-23,30.30434782608696,43.17391304347826,47.869565217391305,,-RA:02 |RA |RA,-0.008749999999999999,3.25,84.8695652173913,30.135652173913048,CLR:00,30.084347826086955,45.869565217391305,000,,4.222222222222222
A0002694297,2024-10-24,30.282083333333333,40.416666666666664,45.5,,,0.025,5.625,83.875,30.1125,CLR:00,30.062083333333334,43.291666666666664,000,,3.625
A0002694297,2024-10-25,29.89608695652174,39.26086956521739,48.869565217391305,,-RA:02 |RA |RA,0.052857142857142866,6.571428571428571,71.95652173913044,29.729565217391304,CLR:00,29.677826086956518,44.26086956521739,000,21.333333333333332,4.904761904761905
A0002694297,2024-10-26,29.893157894736845,51.36842105263158,55.421052631578945,,-RA:02 |RA |RA,-0.011428571428571429,3.857142857142857,86.6842105263158,29.72421052631579,BKN:07 100,29.67684210526315,53.26315789473684,VRB,24.5,8.166666666666666
A0002694297,2024-10-27,29.790000000000003,48.0,50.666666666666664,,,-0.11,1.0,90.33333333333333,29.623333333333335,BKN:07 15,29.573333333333334,49.0,150,,5.666666666666667
